,"id","label","chrom","start","end","Length","Hits","Hits per Kb","Reads","Hits_600_bp_upstream","Hits_600_bp_downstream","Neighbourhood Hits","Neighbourhood Index","Max Free Region","Freedom Index","target_seq_counts","600_bp_up_target_seq_counts","600_bp_down_target_seq_counts","target_per_bp","600_up_target_per_bp","600_down_target_per_bp"
50,"CAGL0C01463g",0,"ChrC_C_glabrata_CBS138",160275,162637,2363,8,3.39,253,5,4,292,0.058,1214,0.514,237,69,69,0.1003,0.115,0.115
51,"CAGL0C01485g",0,"ChrC_C_glabrata_CBS138",162873,164717,1845,25,13.55,2068,3,12,286,0.237,461,0.25,121,63,44,0.0656,0.105,0.0733
52,"CAGL0C01551g",0,"ChrC_C_glabrata_CBS138",168065,169932,1868,20,10.71,396,5,31,264,0.203,391,0.209,131,60,26,0.0701,0.1,0.0433
53,"CAGL0C02211g",0,"ChrC_C_glabrata_CBS138",224548,226813,2266,31,13.68,1293,16,15,296,0.231,731,0.323,213,76,65,0.094,0.1267,0.1083
54,"CAGL0C02277g",0,"ChrC_C_glabrata_CBS138",230153,233291,3139,17,5.42,392,8,3,377,0.072,777,0.248,279,61,51,0.0889,0.1017,0.085
55,"CAGL0C02343g",0,"ChrC_C_glabrata_CBS138",236112,239639,3528,99,28.06,8359,17,33,376,0.373,2178,0.617,256,68,46,0.0726,0.1133,0.0767
56,"CAGL0C02365g",0,"ChrC_C_glabrata_CBS138",238940,239122,183,7,38.25,211,6,48,294,0.651,108,0.59,9,53,49,0.0492,0.0883,0.0817
57,"CAGL0C02519g",0,"ChrC_C_glabrata_CBS138",252907,255345,2439,87,35.67,4888,32,4,394,0.453,330,0.135,146,51,39,0.0599,0.085,0.065
58,"CAGL0C02717g",0,"ChrC_C_glabrata_CBS138",275297,276499,1203,4,3.33,75,3,4,305,0.055,896,0.745,91,59,48,0.0756,0.0983,0.08
59,"CAGL0C02739g",0,"ChrC_C_glabrata_CBS138",276587,277341,755,3,3.97,318,5,8,295,0.067,455,0.603,57,49,60,0.0755,0.0817,0.1
60,"CAGL0C02761g",0,"ChrC_C_glabrata_CBS138",277448,278207,760,15,19.74,779,2,32,299,0.33,121,0.159,75,45,65,0.0987,0.075,0.1083
61,"CAGL0C03311g",0,"ChrC_C_glabrata_CBS138",333849,334588,740,25,33.78,708,8,35,375,0.45,255,0.345,58,71,37,0.0784,0.1183,0.0617
62,"CAGL0C03333g",0,"ChrC_C_glabrata_CBS138",335097,337588,2492,41,16.45,1941,43,7,415,0.198,310,0.124,228,40,51,0.0915,0.0667,0.085
63,"CAGL0C03399g",0,"ChrC_C_glabrata_CBS138",341637,343292,1656,22,13.29,697,31,12,344,0.193,293,0.177,135,54,57,0.0815,0.09,0.095
64,"CAGL0C03608g",0,"ChrC_C_glabrata_CBS138",360636,363000,2365,32,13.53,902,17,3,353,0.192,499,0.211,155,25,49,0.0655,0.0417,0.0817
65,"CAGL0C03872g",0,"ChrC_C_glabrata_CBS138",379347,380367,1021,9,8.81,305,49,22,584,0.075,331,0.324,69,59,57,0.0676,0.0983,0.095
66,"CAGL0C04048g",0,"ChrC_C_glabrata_CBS138",399581,401707,2127,37,17.40,581,25,115,589,0.148,208,0.098,200,59,50,0.094,0.0983,0.0833
67,"CAGL0C05335g",0,"ChrC_C_glabrata_CBS138",509074,510316,1243,35,28.16,1544,12,18,307,0.459,194,0.156,75,61,52,0.0603,0.1017,0.0867
68,"CAGL0C05357g",0,"ChrC_C_glabrata_CBS138",510374,512104,1731,30,17.33,476,30,6,326,0.266,231,0.133,182,38,53,0.1051,0.0633,0.0883
69,"CAGL0C05401g",0,"ChrC_C_glabrata_CBS138",515623,515886,264,1,3.79,49,8,0,286,0.066,165,0.625,30,62,65,0.1136,0.1033,0.1083
70,"CAGL0C05599g",0,"ChrC_C_glabrata_CBS138",538455,541643,3189,25,7.84,454,4,21,224,0.175,514,0.161,375,76,58,0.1176,0.1267,0.0967
72,"CAGL0D00242g",0,"ChrD_C_glabrata_CBS138",30207,31485,1279,8,6.25,72,7,2,443,0.071,438,0.342,147,64,74,0.1149,0.1067,0.1233
73,"CAGL0D00396g",0,"ChrD_C_glabrata_CBS138",46316,46558,243,8,32.92,312,35,8,412,0.4,99,0.407,23,51,71,0.0947,0.085,0.1183
74,"CAGL0D00462g",0,"ChrD_C_glabrata_CBS138",54947,57918,2972,24,8.08,1202,21,28,501,0.081,402,0.135,271,64,48,0.0912,0.1067,0.08
75,"CAGL0D00682g",0,"ChrD_C_glabrata_CBS138",88840,91298,2459,22,8.95,1022,1,11,302,0.148,750,0.305,210,67,35,0.0854,0.1117,0.0583
76,"CAGL0D01012g",0,"ChrD_C_glabrata_CBS138",118364,123067,4704,11,2.34,219,5,35,187,0.063,1374,0.292,429,67,54,0.0912,0.1117,0.09
79,"CAGL0D01210g",0,"ChrD_C_glabrata_CBS138",137797,138919,1123,17,15.14,885,31,0,257,0.295,338,0.301,104,60,54,0.0926,0.1,0.09
80,"CAGL0D01364g",0,"ChrD_C_glabrata_CBS138",151847,155663,3817,28,7.34,3557,30,1,207,0.177,557,0.146,254,58,66,0.0665,0.0967,0.11
81,"CAGL0D01430g",0,"ChrD_C_glabrata_CBS138",158792,160419,1628,10,6.14,409,0,0,179,0.172,472,0.29,145,61,56,0.0891,0.1017,0.0933
83,"CAGL0D01694g",0,"ChrD_C_glabrata_CBS138",176854,178724,1871,8,4.28,270,5,9,136,0.157,1128,0.603,195,70,70,0.1042,0.1167,0.1167
84,"CAGL0D01892g",0,"ChrD_C_glabrata_CBS138",199047,200556,1510,13,8.61,279,38,5,193,0.223,343,0.227,123,48,60,0.0815,0.08,0.1
85,"CAGL0D01936g",0,"ChrD_C_glabrata_CBS138",201964,203461,1498,9,6.01,120,0,30,199,0.151,366,0.244,112,54,46,0.0748,0.09,0.0767
86,"CAGL0D02244g",0,"ChrD_C_glabrata_CBS138",229504,230967,1464,7,4.78,256,12,2,105,0.228,526,0.359,136,68,43,0.0929,0.1133,0.0717
87,"CAGL0D02442g",0,"ChrD_C_glabrata_CBS138",248537,250148,1612,3,1.86,23,5,18,107,0.087,808,0.501,127,63,43,0.0788,0.105,0.0717
88,"CAGL0D02486g",0,"ChrD_C_glabrata_CBS138",253377,256449,3073,9,2.93,202,7,17,179,0.082,783,0.255,332,74,73,0.108,0.1233,0.1217
89,"CAGL0D02530g",0,"ChrD_C_glabrata_CBS138",257171,262184,5014,65,12.96,2506,13,9,225,0.288,530,0.106,511,67,68,0.1019,0.1117,0.1133
90,"CAGL0D02794g",0,"ChrD_C_glabrata_CBS138",292007,294110,2104,13,6.18,641,14,3,131,0.236,682,0.324,144,41,62,0.0684,0.0683,0.1033
91,"CAGL0D02882g",0,"ChrD_C_glabrata_CBS138",299998,302357,2360,17,7.20,408,1,17,118,0.305,521,0.221,236,66,72,0.1,0.11,0.12
93,"CAGL0D02926g",0,"ChrD_C_glabrata_CBS138",305967,308019,2053,29,14.13,812,3,0,122,0.579,369,0.18,74,55,40,0.036,0.0917,0.0667
94,"CAGL0D03146g",0,"ChrD_C_glabrata_CBS138",323342,324240,899,5,5.56,242,0,0,89,0.312,365,0.406,69,51,52,0.0768,0.085,0.0867
95,"CAGL0D03256g",0,"ChrD_C_glabrata_CBS138",336510,338532,2023,17,8.40,264,9,7,203,0.207,333,0.165,187,55,58,0.0924,0.0917,0.0967
96,"CAGL0D03608g",0,"ChrD_C_glabrata_CBS138",363404,365391,1988,10,5.03,330,12,2,190,0.132,621,0.312,191,77,65,0.0961,0.1283,0.1083
97,"CAGL0D03674g",0,"ChrD_C_glabrata_CBS138",369897,376446,6550,29,4.43,560,6,1,181,0.122,1332,0.203,607,55,49,0.0927,0.0917,0.0817
98,"CAGL0D03850g",0,"ChrD_C_glabrata_CBS138",384377,387279,2903,11,3.79,178,3,5,213,0.089,1639,0.565,279,55,49,0.0961,0.0917,0.0817
99,"CAGL0D04840g",0,"ChrD_C_glabrata_CBS138",471185,472447,1263,26,20.59,732,4,2,324,0.318,257,0.203,85,41,48,0.0673,0.0683,0.08
100,"CAGL0D05104g",0,"ChrD_C_glabrata_CBS138",491385,492397,1013,14,13.82,789,6,34,469,0.147,317,0.313,89,59,58,0.0879,0.0983,0.0967
101,"CAGL0D05170g",0,"ChrD_C_glabrata_CBS138",493572,495697,2126,52,24.46,2219,61,82,478,0.256,201,0.095,188,61,62,0.0884,0.1017,0.1033
102,"CAGL0D05434g",0,"ChrD_C_glabrata_CBS138",517506,518805,1300,23,17.69,693,37,17,645,0.137,268,0.206,98,46,56,0.0754,0.0767,0.0933
103,"CAGL0D05654g",0,"ChrD_C_glabrata_CBS138",537378,538337,960,59,61.46,2208,95,8,562,0.547,135,0.141,89,63,65,0.0927,0.105,0.1083
104,"CAGL0D06204g",0,"ChrD_C_glabrata_CBS138",582573,585229,2657,37,13.93,1271,0,26,508,0.137,344,0.129,242,60,49,0.0911,0.1,0.0817
105,"CAGL0D06424g",0,"ChrD_C_glabrata_CBS138",603922,608216,4295,111,25.84,5369,20,21,527,0.245,2120,0.494,330,33,41,0.0768,0.055,0.0683
107,"CAGL0D06512g",0,"ChrD_C_glabrata_CBS138",617133,621968,4836,80,16.54,1994,9,56,481,0.172,410,0.085,494,53,39,0.1022,0.0883,0.065
108,"CAGL0D06534g",0,"ChrD_C_glabrata_CBS138",622178,622492,315,26,82.54,1541,45,46,438,0.942,65,0.206,20,53,35,0.0635,0.0883,0.0583
109,"CAGL0D06622g",0,"ChrD_C_glabrata_CBS138",629236,633215,3980,32,8.04,656,13,45,693,0.058,489,0.123,414,75,66,0.104,0.125,0.11
110,"CAGL0D06666g",0,"ChrD_C_glabrata_CBS138",638537,638737,201,26,129.35,1526,21,86,419,1.544,42,0.209,18,64,46,0.0896,0.1067,0.0767
111,"CAGL0E00341g",0,"ChrE_C_glabrata_CBS138",29668,30190,523,8,15.30,145,4,5,156,0.49,198,0.379,54,66,63,0.1033,0.11,0.105
112,"CAGL0E00385g",0,"ChrE_C_glabrata_CBS138",31847,33990,2144,14,6.53,283,10,6,153,0.213,705,0.329,197,53,59,0.0919,0.0883,0.0983
113,"CAGL0E00561g",0,"ChrE_C_glabrata_CBS138",49847,52769,2923,5,1.71,46,9,10,168,0.051,931,0.319,242,47,51,0.0828,0.0783,0.085
114,"CAGL0E00627g",0,"ChrE_C_glabrata_CBS138",54688,59207,4520,21,4.65,386,12,7,208,0.112,572,0.127,417,39,75,0.0923,0.065,0.125
116,"CAGL0E01331g",0,"ChrE_C_glabrata_CBS138",123980,127392,3413,58,16.99,4512,37,8,326,0.261,995,0.292,215,49,51,0.063,0.0817,0.085
117,"CAGL0E01353g",0,"ChrE_C_glabrata_CBS138",127516,130060,2545,8,3.14,439,17,0,333,0.047,2025,0.796,209,39,42,0.0821,0.065,0.07
118,"CAGL0E01419g",0,"ChrE_C_glabrata_CBS138",132787,134819,2033,12,5.90,314,31,14,232,0.127,407,0.2,177,60,68,0.0871,0.1,0.1133
119,"CAGL0E01683g",0,"ChrE_C_glabrata_CBS138",166418,168217,1800,26,14.44,480,3,23,442,0.163,379,0.211,144,79,53,0.08,0.1317,0.0883
120,"CAGL0E01705g",0,"ChrE_C_glabrata_CBS138",168450,169747,1298,39,30.05,2248,16,47,436,0.345,175,0.135,82,47,42,0.0632,0.0783,0.07
121,"CAGL0E01771g",0,"ChrE_C_glabrata_CBS138",175548,177873,2326,47,20.21,2149,4,17,578,0.175,671,0.288,229,74,70,0.0985,0.1233,0.1167
122,"CAGL0E01859g",0,"ChrE_C_glabrata_CBS138",185786,187458,1673,32,19.13,1544,28,27,541,0.177,230,0.137,109,49,56,0.0652,0.0817,0.0933
123,"CAGL0E02079g",0,"ChrE_C_glabrata_CBS138",207087,209282,2196,21,9.56,907,31,18,1013,0.047,610,0.278,222,60,73,0.1011,0.1,0.1217
124,"CAGL0E02211g",0,"ChrE_C_glabrata_CBS138",215568,215768,201,14,69.65,645,81,50,938,0.371,103,0.512,19,29,57,0.0945,0.0483,0.095
125,"CAGL0E02321g",0,"ChrE_C_glabrata_CBS138",222652,225116,2465,79,32.05,5014,38,2,931,0.172,156,0.063,185,59,71,0.0751,0.0983,0.1183
126,"CAGL0E02475g",0,"ChrE_C_glabrata_CBS138",235921,241448,5528,125,22.61,3138,111,42,867,0.13,408,0.074,569,52,63,0.1029,0.0867,0.105
127,"CAGL0E02629g",0,"ChrE_C_glabrata_CBS138",249897,251689,1793,39,21.75,1058,20,26,808,0.135,259,0.144,169,65,56,0.0943,0.1083,0.0933
128,"CAGL0E02761g",0,"ChrE_C_glabrata_CBS138",260438,261278,841,51,60.64,5992,60,16,492,0.616,110,0.131,52,56,43,0.0618,0.0933,0.0717
129,"CAGL0E02783g",0,"ChrE_C_glabrata_CBS138",261407,265356,3950,48,12.15,846,38,7,567,0.107,684,0.173,318,31,65,0.0805,0.0517,0.1083
130,"CAGL0E02805g",0,"ChrE_C_glabrata_CBS138",260434,267987,7554,137,18.14,7297,59,8,624,0.145,684,0.091,634,55,49,0.0839,0.0917,0.0817
131,"CAGL0E02915g",0,"ChrE_C_glabrata_CBS138",277137,279109,1973,20,10.14,420,17,5,493,0.103,257,0.13,189,77,62,0.0958,0.1283,0.1033
134,"CAGL0E03355g",0,"ChrE_C_glabrata_CBS138",307276,312239,4964,32,6.45,910,16,25,412,0.078,857,0.173,506,66,63,0.1019,0.11,0.105
135,"CAGL0E03454g",0,"ChrE_C_glabrata_CBS138",315148,318767,3620,23,6.35,1253,15,15,321,0.099,538,0.149,352,72,58,0.0972,0.12,0.0967
136,"CAGL0E03476g",0,"ChrE_C_glabrata_CBS138",319048,324007,4960,4,0.81,38,15,11,335,0.012,2955,0.596,470,50,48,0.0948,0.0833,0.08
137,"CAGL0E03498g",0,"ChrE_C_glabrata_CBS138",324369,325057,689,18,26.12,774,8,27,203,0.643,140,0.203,49,43,45,0.0711,0.0717,0.075
138,"CAGL0E03718g",0,"ChrE_C_glabrata_CBS138",346988,348457,1470,20,13.61,404,27,35,451,0.151,550,0.374,131,51,50,0.0891,0.085,0.0833
139,"CAGL0E03762g",0,"ChrE_C_glabrata_CBS138",350440,354003,3564,62,17.40,2578,6,21,531,0.164,535,0.15,329,52,42,0.0923,0.0867,0.07
140,"CAGL0E03982g",0,"ChrE_C_glabrata_CBS138",378307,383449,5143,34,6.61,650,31,5,486,0.068,528,0.103,507,57,58,0.0986,0.095,0.0967
141,"CAGL0E04312g",0,"ChrE_C_glabrata_CBS138",412715,416815,4101,26,6.34,837,11,6,480,0.066,1270,0.31,339,26,48,0.0827,0.0433,0.08
142,"CAGL0E04488g",0,"ChrE_C_glabrata_CBS138",428943,430935,1993,8,4.01,168,29,16,458,0.044,617,0.31,186,69,57,0.0933,0.115,0.095
143,"CAGL0E04510g",0,"ChrE_C_glabrata_CBS138",431193,433417,2225,10,4.49,288,17,9,416,0.054,537,0.241,222,58,55,0.0998,0.0967,0.0917
144,"CAGL0E04620g",0,"ChrE_C_glabrata_CBS138",445363,447981,2619,105,40.09,24704,0,2,360,0.557,345,0.132,216,35,56,0.0825,0.0583,0.0933
145,"CAGL0E04884g",0,"ChrE_C_glabrata_CBS138",469174,474589,5416,31,5.72,1809,5,14,371,0.077,877,0.162,561,60,23,0.1036,0.1,0.0383
146,"CAGL0E05434g",0,"ChrE_C_glabrata_CBS138",532633,535289,2657,8,3.01,213,13,23,118,0.128,1545,0.581,237,58,52,0.0892,0.0967,0.0867
147,"CAGL0E05566g",0,"ChrE_C_glabrata_CBS138",547514,549133,1620,13,8.02,141,17,17,261,0.154,380,0.235,169,69,60,0.1043,0.115,0.1
148,"CAGL0E05940g",0,"ChrE_C_glabrata_CBS138",588263,591767,3505,31,8.84,1091,11,29,240,0.184,1053,0.3,308,60,34,0.0879,0.1,0.0567
149,"CAGL0E06006g",0,"ChrE_C_glabrata_CBS138",596303,597745,1443,16,11.09,499,25,16,347,0.16,266,0.184,118,62,58,0.0818,0.1033,0.0967
150,"CAGL0E06028g",0,"ChrE_C_glabrata_CBS138",597983,599136,1154,5,4.33,225,14,0,372,0.058,481,0.417,125,59,68,0.1083,0.0983,0.1133
151,"CAGL0E06094g",0,"ChrE_C_glabrata_CBS138",603704,603877,174,15,86.21,830,38,45,340,1.268,40,0.23,10,47,27,0.0575,0.0783,0.045
152,"CAGL0E06116g",0,"ChrE_C_glabrata_CBS138",603836,608085,4250,109,25.65,6486,38,10,361,0.355,607,0.143,401,41,38,0.0944,0.0683,0.0633
153,"CAGL0E06248g",0,"ChrE_C_glabrata_CBS138",627389,630017,2629,51,19.40,1400,17,2,322,0.301,498,0.189,306,63,68,0.1164,0.105,0.1133
155,"CAGL0E06600g",0,"ChrE_C_glabrata_CBS138",658435,661332,2898,21,7.25,545,3,16,154,0.235,469,0.162,276,71,62,0.0952,0.1183,0.1033
156,"CAGL0E06644g",0,"ChrE_C_glabrata_CBS138",665110,668214,3105,10,3.22,422,9,2,109,0.148,850,0.274,269,71,58,0.0866,0.1183,0.0967
158,"CAGL0F00209g",0,"ChrF_C_glabrata_CBS138",21347,24339,2993,22,7.35,507,5,6,542,0.068,1765,0.59,305,62,54,0.1019,0.1033,0.09
159,"CAGL0F00341g",0,"ChrF_C_glabrata_CBS138",37787,38429,643,62,96.42,2791,5,6,508,0.949,127,0.198,53,61,60,0.0824,0.1017,0.1
160,"CAGL0F00803g",0,"ChrF_C_glabrata_CBS138",88417,91255,2839,20,7.04,704,20,10,291,0.121,806,0.284,217,32,66,0.0764,0.0533,0.11
161,"CAGL0F00913g",0,"ChrF_C_glabrata_CBS138",96837,100778,3942,26,6.60,625,16,14,295,0.112,530,0.134,415,64,72,0.1053,0.1067,0.12
162,"CAGL0F01265g",0,"ChrF_C_glabrata_CBS138",131407,133795,2389,32,13.39,1130,48,24,590,0.114,390,0.163,190,53,52,0.0795,0.0883,0.0867
163,"CAGL0F01419g",0,"ChrF_C_glabrata_CBS138",142106,147398,5293,49,9.26,1179,23,51,636,0.073,658,0.124,482,43,37,0.0911,0.0717,0.0617
164,"CAGL0F01463g",0,"ChrF_C_glabrata_CBS138",147559,151370,3812,264,69.25,22527,19,7,524,0.661,223,0.058,284,59,18,0.0745,0.0983,0.03
165,"CAGL0F01507g",0,"ChrF_C_glabrata_CBS138",153557,155580,2024,8,3.95,223,13,20,482,0.041,1253,0.619,139,40,58,0.0687,0.0667,0.0967
166,"CAGL0F01837g",0,"ChrF_C_glabrata_CBS138",181047,183119,2073,17,8.20,376,22,10,509,0.081,1511,0.729,153,41,51,0.0738,0.0683,0.085
167,"CAGL0F02079g",0,"ChrF_C_glabrata_CBS138",199945,204992,5048,28,5.55,2316,2,23,411,0.067,3799,0.753,509,70,42,0.1008,0.1167,0.07
168,"CAGL0F02431g",0,"ChrF_C_glabrata_CBS138",233357,236731,3375,203,60.15,22902,126,12,1027,0.293,160,0.047,318,45,63,0.0942,0.075,0.105
