,id,chrom,start,end,target_seq_counts,500bp_up_target_seq_counts,500bp_down_target_seq_counts,length,target_per_bp,up_target_per_bp,down_target_per_bp
49,CAGL0A01199g,ChrA_C_glabrata_CBS138,121026,123489,181,24,51,2464,0.0734577922078,0.048,0.102
50,CAGL0A01221g,ChrA_C_glabrata_CBS138,124987,129488,363,44,25,4502,0.0806308307419,0.088,0.05
51,CAGL0A01243g,ChrA_C_glabrata_CBS138,126066,131211,382,43,42,5146,0.0742324135251,0.086,0.084
52,CAGL0A01284g,ChrA_C_glabrata_CBS138,131317,135649,321,46,36,4333,0.0740826217401,0.092,0.072
53,CAGL0A01325g,ChrA_C_glabrata_CBS138,136007,139529,254,43,51,3523,0.0720976440534,0.086,0.102
54,CAGL0A01366g,ChrA_C_glabrata_CBS138,140257,144775,351,47,37,4519,0.0776720513388,0.094,0.074
55,CAGL0A01408g,ChrA_C_glabrata_CBS138,145137,147039,112,43,48,1903,0.0588544403573,0.086,0.096
56,CAGL0A01430g,ChrA_C_glabrata_CBS138,147107,149462,204,37,57,2356,0.0865874363328,0.074,0.114
57,CAGL0A01452g,ChrA_C_glabrata_CBS138,149637,152897,324,51,55,3261,0.099356025759,0.102,0.11
58,CAGL0A01474g,ChrA_C_glabrata_CBS138,153155,154933,143,66,55,1779,0.0803822372119,0.132,0.11
59,CAGL0A01540g,ChrA_C_glabrata_CBS138,155566,157847,197,59,49,2282,0.0863277826468,0.118,0.098
60,CAGL0A01562g,ChrA_C_glabrata_CBS138,157157,158986,195,26,56,1830,0.106557377049,0.052,0.112
61,CAGL0A01584g,ChrA_C_glabrata_CBS138,158780,159037,25,62,54,258,0.0968992248062,0.124,0.108
62,CAGL0A01606g,ChrA_C_glabrata_CBS138,159129,159968,78,60,36,840,0.0928571428571,0.12,0.072
63,CAGL0A01628g,ChrA_C_glabrata_CBS138,161187,162755,114,42,32,1569,0.0726577437859,0.084,0.064
64,CAGL0A01650g,ChrA_C_glabrata_CBS138,163447,164775,136,40,39,1329,0.102332580888,0.08,0.078
65,CAGL0A01672g,ChrA_C_glabrata_CBS138,164808,166947,166,59,40,2140,0.0775700934579,0.118,0.08
66,CAGL0A01694g,ChrA_C_glabrata_CBS138,167041,169217,213,36,46,2177,0.0978410656867,0.072,0.092
67,CAGL0A01716g,ChrA_C_glabrata_CBS138,169410,170322,56,44,41,913,0.0613362541073,0.088,0.082
68,CAGL0A01738g,ChrA_C_glabrata_CBS138,170399,172917,248,26,44,2519,0.098451766574,0.052,0.088
69,CAGL0A01760g,ChrA_C_glabrata_CBS138,172556,174517,201,61,66,1962,0.10244648318,0.122,0.132
70,CAGL0A01782g,ChrA_C_glabrata_CBS138,174749,176787,188,57,51,2039,0.0922020598333,0.114,0.102
71,CAGL0A01804g,ChrA_C_glabrata_CBS138,180148,181897,140,61,37,1750,0.08,0.122,0.074
72,CAGL0A01826g,ChrA_C_glabrata_CBS138,183870,185907,174,64,55,2038,0.0853778213935,0.128,0.11
73,CAGL0A01848g,ChrA_C_glabrata_CBS138,187468,190927,343,42,58,3460,0.0991329479769,0.084,0.116
74,CAGL0A01870g,ChrA_C_glabrata_CBS138,191094,194721,342,52,44,3628,0.0942668136714,0.104,0.088
75,CAGL0A01892g,ChrA_C_glabrata_CBS138,194560,194826,26,55,40,267,0.0973782771536,0.11,0.08
76,CAGL0A01914g,ChrA_C_glabrata_CBS138,194929,206465,1156,51,50,11537,0.100199358585,0.102,0.1
77,CAGL0A01958g,ChrA_C_glabrata_CBS138,206791,208516,176,49,53,1726,0.101969872538,0.098,0.106
78,CAGL0A01980g,ChrA_C_glabrata_CBS138,208288,210397,217,55,60,2110,0.102843601896,0.11,0.12
79,CAGL0A02002g,ChrA_C_glabrata_CBS138,210447,211217,83,54,40,771,0.107652399481,0.108,0.08
80,CAGL0A02024g,ChrA_C_glabrata_CBS138,211652,213977,254,38,38,2326,0.109200343938,0.076,0.076
81,CAGL0A02046g,ChrA_C_glabrata_CBS138,214918,218203,340,45,54,3286,0.103469263542,0.09,0.108
82,CAGL0A02090g,ChrA_C_glabrata_CBS138,218450,221336,265,57,42,2887,0.0917907862833,0.114,0.084
83,CAGL0A02112g,ChrA_C_glabrata_CBS138,220973,223311,211,43,57,2339,0.0902094912356,0.086,0.114
84,CAGL0A02134g,ChrA_C_glabrata_CBS138,222966,224520,163,42,57,1555,0.104823151125,0.084,0.114
85,CAGL0A02145g,ChrA_C_glabrata_CBS138,225216,226491,99,62,61,1276,0.0775862068966,0.124,0.122
86,CAGL0A02189g,ChrA_C_glabrata_CBS138,226898,228787,178,62,61,1890,0.0941798941799,0.124,0.122
87,CAGL0A02211g,ChrA_C_glabrata_CBS138,229203,231257,197,58,46,2055,0.0958637469586,0.116,0.092
88,CAGL0A02233g,ChrA_C_glabrata_CBS138,235687,237568,161,60,30,1882,0.0855472901169,0.12,0.06
89,CAGL0A02255g,ChrA_C_glabrata_CBS138,241096,245525,458,51,66,4430,0.103386004515,0.102,0.132
90,CAGL0A02277g,ChrA_C_glabrata_CBS138,248522,249340,63,59,66,819,0.0769230769231,0.118,0.132
91,CAGL0A02299g,ChrA_C_glabrata_CBS138,250289,252055,182,52,38,1767,0.102999434069,0.104,0.076
92,CAGL0A02321g,ChrA_C_glabrata_CBS138,250523,254591,356,49,33,4069,0.0874907839764,0.098,0.066
93,CAGL0A02343g,ChrA_C_glabrata_CBS138,254861,255127,20,20,31,267,0.0749063670412,0.04,0.062
94,CAGL0A02365g,ChrA_C_glabrata_CBS138,254787,258700,312,22,34,3914,0.0797138477261,0.044,0.068
95,CAGL0A02387g,ChrA_C_glabrata_CBS138,257781,261241,271,38,35,3461,0.0783010690552,0.076,0.07
96,CAGL0A02409g,ChrA_C_glabrata_CBS138,259747,261514,115,49,31,1768,0.0650452488688,0.098,0.062
97,CAGL0A02431g,ChrA_C_glabrata_CBS138,261619,263642,92,31,36,2024,0.0454545454545,0.062,0.072
98,CAGL0A02475g,ChrA_C_glabrata_CBS138,264041,265918,90,33,21,1878,0.0479233226837,0.066,0.042
99,CAGL0A02486g,ChrA_C_glabrata_CBS138,266016,268848,202,30,45,2833,0.0713025061772,0.06,0.09
100,CAGL0A02508g,ChrA_C_glabrata_CBS138,268907,270099,89,48,52,1193,0.0746018440905,0.096,0.104
101,CAGL0A02530g,ChrA_C_glabrata_CBS138,270427,271548,95,48,40,1122,0.0846702317291,0.096,0.08
102,CAGL0A02552g,ChrA_C_glabrata_CBS138,270607,275452,489,52,93,4846,0.100907965332,0.104,0.186
103,CAGL0A02574g,ChrA_C_glabrata_CBS138,276915,278054,53,45,37,1140,0.0464912280702,0.09,0.074
104,CAGL0A02596g,ChrA_C_glabrata_CBS138,278377,281119,242,37,40,2743,0.0882245716369,0.074,0.08
105,CAGL0A02618g,ChrA_C_glabrata_CBS138,280976,281543,45,39,32,568,0.0792253521127,0.078,0.064
106,CAGL0A02629g,ChrA_C_glabrata_CBS138,281307,283673,185,44,33,2367,0.0781580059147,0.088,0.066
107,CAGL0A02651g,ChrA_C_glabrata_CBS138,283604,287027,299,54,35,3424,0.0873247663551,0.108,0.07
108,CAGL0A02673g,ChrA_C_glabrata_CBS138,287278,288267,59,39,36,990,0.059595959596,0.078,0.072
109,CAGL0A02695g,ChrA_C_glabrata_CBS138,288329,290467,149,35,19,2139,0.0696587190276,0.07,0.038
110,CAGL0A02706g,ChrA_C_glabrata_CBS138,290595,291704,26,21,23,1110,0.0234234234234,0.042,0.046
111,CAGL0A02728g,ChrA_C_glabrata_CBS138,291888,292160,8,17,27,273,0.029304029304,0.034,0.054
112,CAGL0A02750g,ChrA_C_glabrata_CBS138,292397,293888,103,22,39,1492,0.0690348525469,0.044,0.078
113,CAGL0A02772g,ChrA_C_glabrata_CBS138,293827,295297,133,47,63,1471,0.0904146838885,0.094,0.126
114,CAGL0A02794g,ChrA_C_glabrata_CBS138,295447,296481,94,49,52,1035,0.0908212560386,0.098,0.104
115,CAGL0A02816g,ChrA_C_glabrata_CBS138,296777,297839,108,54,56,1063,0.101599247413,0.108,0.112
116,CAGL0A02838g,ChrA_C_glabrata_CBS138,297848,300452,265,60,52,2605,0.101727447217,0.12,0.104
117,CAGL0A02860g,ChrA_C_glabrata_CBS138,300605,302993,233,50,46,2389,0.0975303474257,0.1,0.092
118,CAGL0A02882g,ChrA_C_glabrata_CBS138,302197,302892,59,51,49,696,0.0847701149425,0.102,0.098
119,CAGL0A02904g,ChrA_C_glabrata_CBS138,302938,304443,153,46,59,1506,0.101593625498,0.092,0.118
120,CAGL0A02926g,ChrA_C_glabrata_CBS138,304345,306469,209,49,54,2125,0.0983529411765,0.098,0.108
121,CAGL0A02948g,ChrA_C_glabrata_CBS138,306082,307911,179,43,49,1830,0.0978142076503,0.086,0.098
122,CAGL0A02970g,ChrA_C_glabrata_CBS138,306708,308033,127,48,47,1326,0.0957767722474,0.096,0.094
123,CAGL0A02981g,ChrA_C_glabrata_CBS138,308234,308752,57,45,43,519,0.109826589595,0.09,0.086
124,CAGL0A02992g,ChrA_C_glabrata_CBS138,308240,310171,169,46,46,1932,0.0874741200828,0.092,0.092
125,CAGL0A03014g,ChrA_C_glabrata_CBS138,310323,311828,133,43,50,1506,0.0883134130146,0.086,0.1
126,CAGL0A03036g,ChrA_C_glabrata_CBS138,312174,312479,23,45,47,306,0.0751633986928,0.09,0.094
127,CAGL0A03051g,ChrA_C_glabrata_CBS138,312305,313507,97,52,26,1203,0.0806317539485,0.104,0.052
128,CAGL0A03058g,ChrA_C_glabrata_CBS138,313637,316493,215,38,57,2857,0.0752537626881,0.076,0.114
129,CAGL0A03080g,ChrA_C_glabrata_CBS138,316349,316964,71,51,38,616,0.11525974026,0.102,0.076
130,CAGL0A03102g,ChrA_C_glabrata_CBS138,317198,320138,170,53,37,2941,0.0578034682081,0.106,0.074
131,CAGL0A03117g,ChrA_C_glabrata_CBS138,320499,322918,243,38,38,2420,0.10041322314,0.076,0.076
132,CAGL0A03146g,ChrA_C_glabrata_CBS138,322536,323760,109,50,38,1225,0.0889795918367,0.1,0.076
133,CAGL0A03168g,ChrA_C_glabrata_CBS138,323928,324517,48,39,37,590,0.0813559322034,0.078,0.074
134,CAGL0A03190g,ChrA_C_glabrata_CBS138,324548,325357,51,43,53,810,0.062962962963,0.086,0.106
135,CAGL0A03212g,ChrA_C_glabrata_CBS138,325523,326657,97,36,36,1135,0.0854625550661,0.072,0.072
136,CAGL0A03234g,ChrA_C_glabrata_CBS138,328547,331288,205,59,46,2742,0.0747629467542,0.118,0.092
137,CAGL0A03256g,ChrA_C_glabrata_CBS138,331537,333519,201,53,53,1983,0.101361573374,0.106,0.106
138,CAGL0A03278g,ChrA_C_glabrata_CBS138,333278,335154,200,54,27,1877,0.106553010123,0.108,0.054
139,CAGL0A03300g,ChrA_C_glabrata_CBS138,335727,338560,271,20,43,2834,0.0956245589273,0.04,0.086
140,CAGL0A03322g,ChrA_C_glabrata_CBS138,337485,340160,254,49,49,2676,0.0949177877429,0.098,0.098
141,CAGL0A03344g,ChrA_C_glabrata_CBS138,340139,342780,273,47,48,2642,0.103330809992,0.094,0.096
142,CAGL0A03366g,ChrA_C_glabrata_CBS138,343586,345867,194,51,38,2282,0.0850131463628,0.102,0.076
143,CAGL0A03388g,ChrA_C_glabrata_CBS138,346579,347387,73,60,39,809,0.0902348578492,0.12,0.078
144,CAGL0A03410g,ChrA_C_glabrata_CBS138,348677,349603,97,46,57,927,0.104638619202,0.092,0.114
145,CAGL0A03432g,ChrA_C_glabrata_CBS138,349757,353398,384,55,60,3642,0.105436573311,0.11,0.12
146,CAGL0A03454g,ChrA_C_glabrata_CBS138,353647,355379,188,52,53,1733,0.108482400462,0.104,0.106
147,CAGL0A03476g,ChrA_C_glabrata_CBS138,355510,357207,154,63,53,1698,0.0906949352179,0.126,0.106
148,CAGL0A03498g,ChrA_C_glabrata_CBS138,357505,359847,222,53,51,2343,0.0947503201024,0.106,0.102
149,CAGL0A03542g,ChrA_C_glabrata_CBS138,360430,361400,90,50,65,971,0.0926879505664,0.1,0.13
150,CAGL0A03564g,ChrA_C_glabrata_CBS138,361683,365024,393,48,49,3342,0.117594254937,0.096,0.098
151,CAGL0A03586g,ChrA_C_glabrata_CBS138,365127,365696,57,49,63,570,0.1,0.098,0.126
152,CAGL0A03608g,ChrA_C_glabrata_CBS138,365991,367037,94,60,52,1047,0.0897803247373,0.12,0.104
153,CAGL0A03630g,ChrA_C_glabrata_CBS138,369378,372767,345,49,46,3390,0.101769911504,0.098,0.092
154,CAGL0A03652g,ChrA_C_glabrata_CBS138,373070,375457,214,47,35,2388,0.0896147403685,0.094,0.07
155,CAGL0A03674g,ChrA_C_glabrata_CBS138,375253,376738,123,34,39,1486,0.0827725437416,0.068,0.078
156,CAGL0A03696g,ChrA_C_glabrata_CBS138,376860,378923,188,39,47,2064,0.0910852713178,0.078,0.094
157,CAGL0A03718g,ChrA_C_glabrata_CBS138,378454,384065,512,41,30,5612,0.0912330719886,0.082,0.06
158,CAGL0A03740g,ChrA_C_glabrata_CBS138,384766,387190,190,27,59,2425,0.0783505154639,0.054,0.118
159,CAGL0A03784g,ChrA_C_glabrata_CBS138,387828,388468,55,55,42,641,0.0858034321373,0.11,0.084
160,CAGL0A03806g,ChrA_C_glabrata_CBS138,388787,390319,162,35,48,1533,0.105675146771,0.07,0.096
161,CAGL0A03828g,ChrA_C_glabrata_CBS138,390587,392153,162,58,59,1567,0.103382259094,0.116,0.118
162,CAGL0A03872g,ChrA_C_glabrata_CBS138,392446,394655,176,52,25,2210,0.0796380090498,0.104,0.05
163,CAGL0A03883g,ChrA_C_glabrata_CBS138,394603,396176,74,29,29,1574,0.0470139771283,0.058,0.058
164,CAGL0A03905g,ChrA_C_glabrata_CBS138,394980,396953,103,32,28,1974,0.0521783181358,0.064,0.056
165,CAGL0A03927g,ChrA_C_glabrata_CBS138,397147,398918,111,40,39,1772,0.0626410835214,0.08,0.078
166,CAGL0A03949g,ChrA_C_glabrata_CBS138,398987,400219,120,52,46,1233,0.0973236009732,0.104,0.092
167,CAGL0A03971g,ChrA_C_glabrata_CBS138,398488,400829,229,24,49,2342,0.097779675491,0.048,0.098
168,CAGL0A03993g,ChrA_C_glabrata_CBS138,400772,402162,144,47,38,1391,0.103522645579,0.094,0.076
169,CAGL0A04015g,ChrA_C_glabrata_CBS138,402070,403596,102,62,46,1527,0.0667976424361,0.124,0.092
170,CAGL0A04037g,ChrA_C_glabrata_CBS138,403801,405917,125,34,29,2117,0.059045819556,0.068,0.058
171,CAGL0A04059g,ChrA_C_glabrata_CBS138,406047,407979,126,25,30,1933,0.0651836523539,0.05,0.06
172,CAGL0A04081g,ChrA_C_glabrata_CBS138,408037,409260,63,43,27,1224,0.0514705882353,0.086,0.054
173,CAGL0A04103g,ChrA_C_glabrata_CBS138,409467,410365,52,34,37,899,0.0578420467186,0.068,0.074
174,CAGL0A04125g,ChrA_C_glabrata_CBS138,410597,411464,72,41,52,868,0.0829493087558,0.082,0.104
175,CAGL0A04147g,ChrA_C_glabrata_CBS138,410614,413021,223,44,55,2408,0.0926079734219,0.088,0.11
176,CAGL0A04169g,ChrA_C_glabrata_CBS138,413233,415437,168,59,36,2205,0.0761904761905,0.118,0.072
177,CAGL0A04191g,ChrA_C_glabrata_CBS138,415790,416297,31,28,61,508,0.0610236220472,0.056,0.122
178,CAGL0A04213g,ChrA_C_glabrata_CBS138,416887,419789,235,57,47,2903,0.0809507406132,0.114,0.094
179,CAGL0A04235g,ChrA_C_glabrata_CBS138,419847,422155,222,49,55,2309,0.0961455175401,0.098,0.11
180,CAGL0A04257g,ChrA_C_glabrata_CBS138,422062,424666,198,53,28,2605,0.0760076775432,0.106,0.056
181,CAGL0A04279g,ChrA_C_glabrata_CBS138,425004,426413,96,28,47,1410,0.068085106383,0.056,0.094
182,CAGL0A04301g,ChrA_C_glabrata_CBS138,426126,429170,279,30,40,3045,0.0916256157635,0.06,0.08
183,CAGL0A04323g,ChrA_C_glabrata_CBS138,428559,430421,163,44,41,1863,0.0874932903918,0.088,0.082
184,CAGL0A04345g,ChrA_C_glabrata_CBS138,429908,431367,109,43,49,1460,0.0746575342466,0.086,0.098
185,CAGL0A04367g,ChrA_C_glabrata_CBS138,431423,431967,53,33,47,545,0.097247706422,0.066,0.094
186,CAGL0A04389g,ChrA_C_glabrata_CBS138,431504,433150,155,40,32,1647,0.0941105039466,0.08,0.064
187,CAGL0A04411g,ChrA_C_glabrata_CBS138,433151,435741,235,52,41,2591,0.0906985719799,0.104,0.082
188,CAGL0A04433g,ChrA_C_glabrata_CBS138,435977,437020,76,45,43,1044,0.0727969348659,0.09,0.086
189,CAGL0A04455g,ChrA_C_glabrata_CBS138,437357,441052,314,45,37,3696,0.0849567099567,0.09,0.074
190,CAGL0A04477g,ChrA_C_glabrata_CBS138,441413,444672,328,47,35,3260,0.100613496933,0.094,0.07
191,CAGL0A04499g,ChrA_C_glabrata_CBS138,444634,445607,93,61,48,974,0.0954825462012,0.122,0.096
192,CAGL0A04521g,ChrA_C_glabrata_CBS138,447271,447876,46,55,63,606,0.0759075907591,0.11,0.126
193,CAGL0A04543g,ChrA_C_glabrata_CBS138,448777,450157,96,56,35,1381,0.0695148443157,0.112,0.07
194,CAGL0A04565g,ChrA_C_glabrata_CBS138,450257,453878,344,26,49,3622,0.0949751518498,0.052,0.098
195,CAGL0A04587g,ChrA_C_glabrata_CBS138,454047,455888,172,50,43,1842,0.0933767643865,0.1,0.086
196,CAGL0A04631g,ChrA_C_glabrata_CBS138,455947,457499,143,47,57,1553,0.0920798454604,0.094,0.114
197,CAGL0A04653g,ChrA_C_glabrata_CBS138,457539,459267,186,53,58,1729,0.107576633892,0.106,0.116
198,CAGL0A04675g,ChrA_C_glabrata_CBS138,459503,460597,106,53,52,1095,0.096803652968,0.106,0.104
199,CAGL0A04697g,ChrA_C_glabrata_CBS138,461571,462798,128,54,46,1228,0.104234527687,0.108,0.092
200,CAGL0A04719g,ChrA_C_glabrata_CBS138,462658,463717,95,59,56,1060,0.0896226415094,0.118,0.112
201,CAGL0A04741g,ChrA_C_glabrata_CBS138,464144,466257,218,46,39,2114,0.103122043519,0.092,0.078
202,CAGL0A04785g,ChrA_C_glabrata_CBS138,465618,469181,316,58,46,3564,0.0886644219978,0.116,0.092
203,CAGL0A04807g,ChrA_C_glabrata_CBS138,469405,472212,306,57,57,2808,0.108974358974,0.114,0.114
204,CAGL0A04829g,ChrA_C_glabrata_CBS138,470353,480145,1068,55,65,9793,0.109057490044,0.11,0.13
205,CAGL0B00105g,ChrB_C_glabrata_CBS138,1,2778,253,1,43,2778,0.0910727141829,0.002,0.086
206,CAGL0B00116g,ChrB_C_glabrata_CBS138,2832,4448,174,35,61,1617,0.107606679035,0.07,0.122
207,CAGL0B00220g,ChrB_C_glabrata_CBS138,10286,11311,96,59,54,1026,0.093567251462,0.118,0.108
208,CAGL0B00242g,ChrB_C_glabrata_CBS138,10582,11136,46,58,54,555,0.0828828828829,0.116,0.108
209,CAGL0B00264g,ChrB_C_glabrata_CBS138,11470,12102,59,52,60,633,0.0932069510269,0.104,0.12
210,CAGL0B00286g,ChrB_C_glabrata_CBS138,9115,15952,700,52,59,6838,0.102369113776,0.104,0.118
211,CAGL0B00308g,ChrB_C_glabrata_CBS138,13791,18129,415,45,51,4339,0.09564415764,0.09,0.102
212,CAGL0B00330g,ChrB_C_glabrata_CBS138,18002,21747,395,51,57,3746,0.105445808863,0.102,0.114
213,CAGL0B00352g,ChrB_C_glabrata_CBS138,21882,23287,147,54,64,1406,0.104551920341,0.108,0.128
214,CAGL0B00374g,ChrB_C_glabrata_CBS138,23530,24778,125,61,64,1249,0.100080064051,0.122,0.128
215,CAGL0B00396g,ChrB_C_glabrata_CBS138,23959,26636,281,59,47,2678,0.104929051531,0.118,0.094
216,CAGL0B00418g,ChrB_C_glabrata_CBS138,24715,30188,566,44,53,5474,0.103397880891,0.088,0.106
217,CAGL0B00440g,ChrB_C_glabrata_CBS138,31387,32726,139,54,68,1340,0.103731343284,0.108,0.136
218,CAGL0B00462g,ChrB_C_glabrata_CBS138,33067,34149,118,75,48,1083,0.108956602031,0.15,0.096
219,CAGL0B00484g,ChrB_C_glabrata_CBS138,35947,38539,274,58,57,2593,0.10566910914,0.116,0.114
220,CAGL0B00506g,ChrB_C_glabrata_CBS138,36892,41017,425,53,51,4126,0.103005332041,0.106,0.102
221,CAGL0B00528g,ChrB_C_glabrata_CBS138,41088,45267,409,43,47,4180,0.0978468899522,0.086,0.094
222,CAGL0B00550g,ChrB_C_glabrata_CBS138,44602,50398,554,46,27,5797,0.0955666724168,0.092,0.054
223,CAGL0B00572g,ChrB_C_glabrata_CBS138,48898,49506,48,41,34,609,0.0788177339901,0.082,0.068
224,CAGL0B00594g,ChrB_C_glabrata_CBS138,51485,51682,7,57,63,198,0.0353535353535,0.114,0.126
225,CAGL0B00616g,ChrB_C_glabrata_CBS138,52887,54199,140,46,67,1313,0.10662604722,0.092,0.134
226,CAGL0B00638g,ChrB_C_glabrata_CBS138,54223,55137,107,49,55,915,0.11693989071,0.098,0.11
227,CAGL0B00660g,ChrB_C_glabrata_CBS138,55385,57837,252,56,57,2453,0.102731349368,0.112,0.114
228,CAGL0B00682g,ChrB_C_glabrata_CBS138,58159,59817,139,59,57,1659,0.0837854128993,0.118,0.114
229,CAGL0B00704g,ChrB_C_glabrata_CBS138,59897,62077,218,40,46,2181,0.0999541494727,0.08,0.092
230,CAGL0B00715g,ChrB_C_glabrata_CBS138,63197,63865,67,43,54,669,0.100149476831,0.086,0.108
231,CAGL0B00726g,ChrB_C_glabrata_CBS138,63903,65153,129,53,53,1251,0.103117505995,0.106,0.106
232,CAGL0B00748g,ChrB_C_glabrata_CBS138,65407,68441,316,49,58,3035,0.104118616145,0.098,0.116
