,id,chrom,start,end,target_seq_counts,500bp_up_target_seq_counts,500bp_down_target_seq_counts,length,target_per_bp,up_target_per_bp,down_target_per_bp
69,YAL016W,chrI,124879,126786,198,64,49,1908,0.103773584906,0.128,0.098
70,YAL015C,chrI,126903,128102,83,61,45,1200,0.0691666666667,0.122,0.09
71,YAL014C,chrI,128252,129019,63,42,41,768,0.08203125,0.084,0.082
72,YAL013W,chrI,129270,130487,69,36,48,1218,0.0566502463054,0.072,0.096
73,YAL012W,chrI,130799,131983,92,39,56,1185,0.0776371308017,0.078,0.112
74,YAL011W,chrI,132199,134076,152,50,59,1878,0.0809371671991,0.1,0.118
75,YAL010C,chrI,134184,135665,138,43,37,1482,0.0931174089069,0.086,0.074
76,YAL009W,chrI,135854,136633,60,44,53,780,0.0769230769231,0.088,0.106
77,YAL008W,chrI,136914,137510,66,49,52,597,0.110552763819,0.098,0.104
78,YAL007C,chrI,137698,138345,69,59,47,648,0.106481481481,0.118,0.094
79,YAL005C,chrI,139503,141431,149,59,41,1929,0.0772420943494,0.118,0.082
80,YAL004W,chrI,140760,141407,43,47,44,648,0.0663580246914,0.094,0.088
81,YAL003W,chrI,142174,143160,86,51,66,987,0.0871327254306,0.102,0.132
82,YAL002W,chrI,143707,147531,398,62,55,3825,0.104052287582,0.124,0.11
83,YAL001C,chrI,147594,151166,349,61,61,3573,0.0976770221103,0.122,0.122
84,YAR002W,chrI,152257,153876,152,55,45,1620,0.0938271604938,0.11,0.09
85,YAR002C-A,chrI,154065,154724,57,57,50,660,0.0863636363636,0.114,0.1
86,YAR003W,chrI,155005,156285,124,51,59,1281,0.0967993754879,0.102,0.118
87,YAR007C,chrI,156754,158619,162,59,33,1866,0.0868167202572,0.118,0.066
88,YAR008W,chrI,158966,159793,74,39,57,828,0.0893719806763,0.078,0.114
89,YAR014C,chrI,166742,168871,185,50,56,2130,0.0868544600939,0.1,0.112
90,YAR015W,chrI,169375,170295,81,56,51,921,0.0879478827362,0.112,0.102
91,YAR018C,chrI,170396,171703,119,49,65,1308,0.0909785932722,0.098,0.13
92,YAR019C,chrI,172211,175135,271,65,42,2925,0.0926495726496,0.13,0.084
93,YAR019W-A,chrI,174998,175330,21,40,55,333,0.0630630630631,0.08,0.11
94,YAR020C,chrI,176856,177023,6,56,36,168,0.0357142857143,0.112,0.072
95,YAR023C,chrI,179281,179820,49,53,45,540,0.0907407407407,0.106,0.09
96,YAR027W,chrI,183770,184477,66,60,49,708,0.0932203389831,0.12,0.098
97,YAR028W,chrI,184892,185596,58,49,50,705,0.0822695035461,0.098,0.1
98,YAR029W,chrI,186321,186545,25,41,52,225,0.111111111111,0.082,0.104
99,YAR030C,chrI,186512,186853,31,43,53,342,0.0906432748538,0.086,0.106
100,YAR031W,chrI,186836,187732,86,49,48,897,0.0958751393534,0.098,0.096
101,YAR033W,chrI,188107,188811,63,49,46,705,0.0893617021277,0.098,0.092
102,YAR035W,chrI,190193,192256,84,44,31,2064,0.0406976744186,0.088,0.062
103,YAR035C-A,chrI,192337,192417,3,24,27,81,0.037037037037,0.048,0.054
104,YAR042W,chrI,192619,196185,283,25,61,3567,0.0793383795907,0.05,0.122
105,YAR047C,chrI,201467,201787,29,43,47,321,0.0903426791277,0.086,0.094
106,YAR050W,chrI,203403,208016,332,54,63,4614,0.0719549198093,0.108,0.126
107,YAR053W,chrI,208367,208663,40,55,55,297,0.13468013468,0.11,0.11
108,YAR060C,chrI,217157,217492,32,47,42,336,0.0952380952381,0.094,0.084
109,YAR064W,chrI,220198,220497,11,43,44,300,0.0366666666667,0.086,0.088
110,YAR066W,chrI,221049,221660,39,44,31,612,0.0637254901961,0.088,0.062
111,YAR068W,chrI,222406,222891,29,21,49,486,0.059670781893,0.042,0.098
112,YAR069C,chrI,224011,224304,21,45,47,294,0.0714285714286,0.09,0.094
113,YAR070C,chrI,224563,224862,28,43,49,300,0.0933333333333,0.086,0.098
114,YAR071W,chrI,225460,226863,107,50,50,1404,0.0762108262108,0.1,0.1
115,YAR073W,chrI,227742,228953,107,51,56,1212,0.0882838283828,0.102,0.112
116,YAR075W,chrI,228844,229317,46,48,59,474,0.0970464135021,0.096,0.118
117,YBL113C,chrII,280,2658,123,21,34,2379,0.0517023959647,0.042,0.068
118,YBL113W-A,chrII,646,1128,29,42,29,483,0.0600414078675,0.084,0.058
119,YBL112C,chrII,2582,2899,22,19,31,318,0.0691823899371,0.038,0.062
120,YBL111C,chrII,2907,5009,155,31,54,2103,0.0737042320495,0.062,0.108
121,YBL109W,chrII,5790,6125,21,36,48,336,0.0625,0.072,0.096
122,YBL108C-A,chrII,7605,7733,8,55,36,129,0.062015503876,0.11,0.072
123,YBL108W,chrII,8177,8482,29,34,57,306,0.0947712418301,0.068,0.114
124,YBL107W-A,chrII,9268,9372,14,49,51,105,0.133333333333,0.098,0.102
125,YBL107C,chrII,9961,10551,45,46,51,591,0.0761421319797,0.092,0.102
126,YBL106C,chrII,10847,13879,277,50,54,3033,0.0913287174415,0.1,0.108
127,YBL105C,chrII,14241,17696,319,66,55,3456,0.0923032407407,0.132,0.11
128,YBL104C,chrII,18177,21293,303,58,56,3117,0.0972088546679,0.116,0.112
129,YBL103C,chrII,22076,23536,121,58,50,1461,0.0828199863107,0.116,0.1
130,YBL102W,chrII,24098,24745,46,50,60,648,0.070987654321,0.1,0.12
131,YBL101C,chrII,24946,28299,310,48,47,3354,0.0924269528921,0.096,0.094
132,YBL100W-C,chrII,28427,28546,10,33,50,120,0.0833333333333,0.066,0.1
133,YBL100C,chrII,36989,37303,15,42,37,315,0.047619047619,0.084,0.074
134,YBL099W,chrII,37053,38690,111,46,57,1638,0.0677655677656,0.092,0.114
135,YBL098W,chrII,39145,40527,142,62,64,1383,0.102675343456,0.124,0.128
136,YBL097W,chrII,40831,43095,221,65,43,2265,0.0975717439294,0.13,0.086
137,YBL096C,chrII,43174,43482,29,45,31,309,0.0938511326861,0.09,0.062
138,YBL095W,chrII,43277,44089,61,44,40,813,0.0750307503075,0.088,0.08
139,YBL094C,chrII,43765,44097,27,36,41,333,0.0810810810811,0.072,0.082
140,YBL093C,chrII,44256,44918,46,43,35,663,0.0693815987934,0.086,0.07
141,YBL092W,chrII,45645,46370,63,40,54,726,0.0867768595041,0.08,0.108
142,YBL091C-A,chrII,46565,47180,51,61,50,616,0.0827922077922,0.122,0.1
143,YBL091C,chrII,47363,48628,102,49,45,1266,0.0805687203791,0.098,0.09
144,YBL090W,chrII,48825,49358,46,47,46,534,0.0861423220974,0.094,0.092
145,YBL089W,chrII,49574,50953,128,52,56,1380,0.0927536231884,0.104,0.112
146,YBL088C,chrII,51019,59382,857,49,52,8364,0.102462936394,0.098,0.104
147,YBL087C,chrII,59822,60739,88,54,48,918,0.0958605664488,0.108,0.096
148,YBL086C,chrII,61202,62602,104,50,47,1401,0.074232690935,0.1,0.094
149,YBL085W,chrII,63876,66818,265,38,61,2943,0.090044172613,0.076,0.122
150,YBL084C,chrII,67169,69445,254,62,39,2277,0.111550285463,0.124,0.078
151,YBL083C,chrII,69713,70138,23,45,36,426,0.0539906103286,0.09,0.072
152,YBL082C,chrII,69751,71127,89,44,47,1377,0.0646332607117,0.088,0.094
153,YBL081W,chrII,71866,72972,72,48,60,1107,0.0650406504065,0.096,0.12
154,YBL080C,chrII,73070,74695,144,49,57,1626,0.0885608856089,0.098,0.114
155,YBL079W,chrII,75259,79767,437,55,59,4509,0.096917276558,0.11,0.118
156,YBL078C,chrII,80378,80731,34,62,58,354,0.0960451977401,0.124,0.116
157,YBL077W,chrII,80897,81328,50,51,50,432,0.115740740741,0.102,0.1
158,YBL076C,chrII,81043,84261,308,52,38,3219,0.0956818887853,0.104,0.076
159,YBL075C,chrII,84499,86448,171,41,52,1950,0.0876923076923,0.082,0.104
160,YBL074C,chrII,86722,87789,107,45,48,1068,0.100187265918,0.09,0.096
161,YBL073W,chrII,87646,87957,22,50,56,312,0.0705128205128,0.1,0.112
162,YBL072C,chrII,88523,89440,76,56,48,918,0.082788671024,0.112,0.096
163,YBL071C-B,chrII,89458,89556,9,48,47,99,0.0909090909091,0.096,0.094
164,YBL071W-A,chrII,89978,90226,19,46,49,249,0.0763052208835,0.092,0.098
165,YBL071C,chrII,90223,90531,27,49,58,309,0.0873786407767,0.098,0.116
166,YBL070C,chrII,90605,90925,35,44,45,321,0.109034267913,0.088,0.09
167,YBL069W,chrII,90741,92030,121,50,57,1290,0.0937984496124,0.1,0.114
168,YBL068W-A,chrII,91794,92030,27,46,57,237,0.113924050633,0.092,0.114
169,YBL068W,chrII,92414,93394,98,54,61,981,0.0998980632008,0.108,0.122
170,YBL067C,chrII,93639,95882,229,48,48,2244,0.102049910873,0.096,0.096
171,YBL066C,chrII,96669,100115,310,68,50,3447,0.0899332753119,0.136,0.1
172,YBL065W,chrII,99963,100307,35,37,47,345,0.101449275362,0.074,0.094
173,YBL064C,chrII,100371,101156,65,51,48,786,0.0826972010178,0.102,0.096
174,YBL063W,chrII,101886,105221,359,46,56,3336,0.107613908873,0.092,0.112
175,YBL062W,chrII,105308,105688,41,48,43,381,0.107611548556,0.096,0.086
176,YBL061C,chrII,105316,107406,208,50,50,2091,0.0994739359158,0.1,0.1
177,YBL060W,chrII,107932,109995,193,49,51,2064,0.093507751938,0.098,0.102
178,YBL059C-A,chrII,110125,110539,38,62,47,415,0.0915662650602,0.124,0.094
179,YBL059W,chrII,110594,111244,64,42,42,651,0.0983102918587,0.084,0.084
180,YBL058W,chrII,111437,112708,91,44,41,1272,0.0715408805031,0.088,0.082
181,YBL057C,chrII,112801,113427,45,37,34,627,0.0717703349282,0.074,0.068
182,YBL056W,chrII,113762,115168,135,36,57,1407,0.0959488272921,0.072,0.114
183,YBL055C,chrII,115573,116829,108,63,39,1257,0.0859188544153,0.126,0.078
184,YBL054W,chrII,117589,119166,132,43,56,1578,0.0836501901141,0.086,0.112
185,YBL053W,chrII,119335,119709,36,52,43,375,0.096,0.104,0.086
186,YBL052C,chrII,119379,121874,240,51,49,2496,0.0961538461538,0.102,0.098
187,YBL051C,chrII,122753,124759,197,58,42,2007,0.0981564524165,0.116,0.084
188,YBL050W,chrII,125125,126119,108,47,40,995,0.108542713568,0.094,0.08
189,YBL049W,chrII,126828,127244,41,37,47,417,0.0983213429257,0.074,0.094
190,YBL048W,chrII,127299,127610,26,44,50,312,0.0833333333333,0.088,0.1
191,YBL047C,chrII,127895,132040,334,53,53,4146,0.0805595754945,0.106,0.106
192,YBL046W,chrII,132424,133749,137,54,60,1326,0.103318250377,0.108,0.12
193,YBL045C,chrII,134143,135516,111,64,37,1374,0.0807860262009,0.128,0.074
194,YBL044W,chrII,135998,136366,17,38,44,369,0.0460704607046,0.076,0.088
195,YBL043W,chrII,136688,137461,60,40,50,774,0.077519379845,0.08,0.1
196,YBL042C,chrII,138341,140260,151,57,29,1920,0.0786458333333,0.114,0.058
197,YBL041W,chrII,141247,141972,62,40,53,726,0.0853994490358,0.08,0.106
198,YBL040C,chrII,142112,142868,74,49,43,757,0.0977542932629,0.098,0.086
199,YBL039W-B,chrII,143393,143572,14,44,61,180,0.0777777777778,0.088,0.122
200,YBL039C,chrII,143989,145728,130,64,53,1740,0.0747126436782,0.128,0.106
201,YBL039C-A,chrII,144948,145031,8,34,39,84,0.0952380952381,0.068,0.078
202,YBL038W,chrII,146187,146885,76,47,56,699,0.108726752504,0.094,0.112
203,YBL037W,chrII,147209,150286,301,61,49,3078,0.0977907732294,0.122,0.098
204,YBL036C,chrII,150447,151220,74,53,54,774,0.0956072351421,0.106,0.108
205,YBL035C,chrII,151493,153610,191,59,48,2118,0.090179414542,0.118,0.096
206,YBL034C,chrII,153848,158389,477,46,50,4542,0.105019815059,0.092,0.1
207,YBL033C,chrII,158656,159693,62,50,36,1038,0.0597302504817,0.1,0.072
208,YBL032W,chrII,160184,161329,95,37,57,1146,0.0828970331588,0.074,0.114
209,YBL031W,chrII,161699,162715,93,54,60,1017,0.0914454277286,0.108,0.12
210,YBL030C,chrII,163041,163997,79,59,51,957,0.0825496342738,0.118,0.102
211,YBL029C-A,chrII,164488,164772,26,52,42,285,0.0912280701754,0.104,0.084
212,YBL029W,chrII,166134,167264,110,48,49,1131,0.0972590627763,0.096,0.098
213,YBL028C,chrII,167518,167838,27,46,53,321,0.0841121495327,0.092,0.106
214,YBL027W,chrII,168423,169376,96,48,49,954,0.100628930818,0.096,0.098
215,YBL026W,chrII,170623,171038,44,53,57,416,0.105769230769,0.106,0.114
216,YBL025W,chrII,171481,171918,42,53,45,438,0.0958904109589,0.106,0.09
217,YBL024W,chrII,172534,174588,198,49,62,2055,0.0963503649635,0.098,0.124
218,YBL023C,chrII,174920,177526,232,61,59,2607,0.0889911775988,0.122,0.118
219,YBL022C,chrII,177874,181275,301,52,41,3402,0.0884773662551,0.104,0.082
220,YBL021C,chrII,181660,182094,36,40,38,435,0.0827586206897,0.08,0.076
221,YBL020W,chrII,182401,184125,191,35,45,1725,0.110724637681,0.07,0.09
222,YBL019W,chrII,184353,185915,148,62,52,1563,0.0946896992962,0.124,0.104
223,YBL018C,chrII,185998,186474,51,55,50,477,0.106918238994,0.11,0.1
224,YBL017C,chrII,186844,191583,460,58,41,4740,0.0970464135021,0.116,0.082
225,YBL016W,chrII,192451,193512,82,42,43,1062,0.0772128060264,0.084,0.086
226,YBL015W,chrII,194122,195702,127,30,58,1581,0.0803289057559,0.06,0.116
227,YBL014C,chrII,199064,201748,257,47,46,2685,0.0957169459963,0.094,0.092
228,YBL013W,chrII,202056,203261,76,41,36,1206,0.0630182421227,0.082,0.072
229,YBL012C,chrII,203406,203807,28,36,37,402,0.0696517412935,0.072,0.074
230,YBL011W,chrII,203538,205817,173,39,48,2280,0.0758771929825,0.078,0.096
231,YBL010C,chrII,206107,206949,78,40,48,843,0.0925266903915,0.08,0.096
232,YBL009W,chrII,207194,209224,186,51,52,2031,0.0915805022157,0.102,0.104
233,YBL008W-A,chrII,209409,209648,19,54,40,240,0.0791666666667,0.108,0.08
234,YBL008W,chrII,209653,212175,243,54,56,2523,0.0963139120095,0.108,0.112
235,YBL007C,chrII,212632,216366,279,60,43,3735,0.0746987951807,0.12,0.086
236,YBL006C,chrII,216587,217129,37,42,41,543,0.0681399631676,0.084,0.082
237,YBL006W-A,chrII,216711,216860,12,39,30,150,0.08,0.078,0.06
238,YBL005W,chrII,217470,220400,323,32,42,2931,0.110201296486,0.064,0.084
239,YBL004W,chrII,227636,235117,800,50,62,7482,0.106923282545,0.1,0.124
240,YBL003C,chrII,235394,235792,44,57,49,399,0.110275689223,0.114,0.098
241,YBL002W,chrII,236492,236887,37,49,60,396,0.0934343434343,0.098,0.12
242,YBL001C,chrII,237153,237467,30,61,62,315,0.0952380952381,0.122,0.124
243,YBR001C,chrII,238941,241283,233,57,62,2343,0.0994451557832,0.114,0.124
244,YBR002C,chrII,241708,242568,76,62,50,861,0.0882694541231,0.124,0.1
245,YBR003W,chrII,242809,244230,132,45,53,1422,0.0928270042194,0.09,0.106
246,YBR004C,chrII,244366,245667,129,47,46,1302,0.0990783410138,0.094,0.092
247,YBR005W,chrII,245906,246547,51,48,52,642,0.0794392523364,0.096,0.104
248,YBR006W,chrII,247010,248503,138,48,60,1494,0.0923694779116,0.096,0.12
249,YBR007C,chrII,248806,251016,181,68,28,2211,0.0818634102216,0.136,0.056
250,YBR008C,chrII,252563,254209,144,60,54,1647,0.0874316939891,0.12,0.108
251,YBR009C,chrII,255373,255684,19,62,44,312,0.0608974358974,0.124,0.088
252,YBR010W,chrII,256331,256741,35,51,53,411,0.0851581508516,0.102,0.106
253,YBR011C,chrII,257112,257975,76,56,48,864,0.087962962963,0.112,0.096
254,YBR012C,chrII,259147,259566,45,52,49,420,0.107142857143,0.104,0.098
255,YBR013C,chrII,265492,265881,53,51,47,390,0.135897435897,0.102,0.094
256,YBR014C,chrII,266725,267336,62,53,61,612,0.101307189542,0.106,0.122
257,YBR015C,chrII,267710,269503,178,65,39,1794,0.0992196209588,0.13,0.078
258,YBR016W,chrII,270247,270633,21,34,51,387,0.0542635658915,0.068,0.102
259,YBR017C,chrII,270947,273703,268,44,67,2757,0.0972071091766,0.088,0.134
260,YBR018C,chrII,274427,275527,115,66,55,1101,0.104450499546,0.132,0.11
261,YBR019C,chrII,276253,278352,190,58,48,2100,0.0904761904762,0.116,0.096
262,YBR020W,chrII,279021,280607,132,49,58,1587,0.0831758034026,0.098,0.116
263,YBR021W,chrII,281443,283344,173,47,48,1902,0.0909568874869,0.094,0.096
264,YBR022W,chrII,283738,284271,46,49,50,534,0.0861423220974,0.098,0.1
265,YBR023C,chrII,284428,287925,326,56,48,3498,0.093196112064,0.112,0.096
266,YBR024W,chrII,289445,290350,79,51,46,906,0.0871964679912,0.102,0.092
267,YBR025C,chrII,290681,291865,113,43,43,1185,0.095358649789,0.086,0.086
268,YBR026C,chrII,292877,294019,101,57,58,1143,0.0883639545057,0.114,0.116
269,YBR027C,chrII,294024,294356,40,40,48,333,0.12012012012,0.08,0.096
270,YBR028C,chrII,294425,296002,146,56,62,1578,0.0925221799747,0.112,0.124
271,YBR029C,chrII,296369,297742,132,59,53,1374,0.0960698689956,0.118,0.106
272,YBR030W,chrII,298292,299950,163,55,43,1659,0.0982519590115,0.11,0.086
273,YBR031W,chrII,300166,301254,79,50,48,1089,0.0725436179982,0.1,0.096
274,YBR032W,chrII,301519,301821,24,54,46,303,0.0792079207921,0.108,0.092
275,YBR033W,chrII,301944,304703,266,45,48,2760,0.0963768115942,0.09,0.096
276,YBR034C,chrII,304930,305976,81,54,47,1047,0.0773638968481,0.108,0.094
277,YBR035C,chrII,306269,306955,55,50,47,687,0.080058224163,0.1,0.094
278,YBR036C,chrII,309081,310313,81,65,38,1233,0.0656934306569,0.13,0.076
279,YBR037C,chrII,310565,311452,59,33,48,888,0.0664414414414,0.066,0.096
280,YBR038W,chrII,311898,314789,275,52,56,2892,0.0950899031812,0.104,0.112
281,YBR039W,chrII,315575,316510,100,56,55,936,0.106837606838,0.112,0.11
282,YBR040W,chrII,316968,317864,94,54,58,897,0.104793756968,0.108,0.116
283,YBR041W,chrII,318266,320275,211,58,60,2010,0.104975124378,0.116,0.12
284,YBR042C,chrII,320416,321609,110,66,51,1194,0.0921273031826,0.132,0.102
285,YBR043C,chrII,321876,323945,179,50,54,2070,0.0864734299517,0.1,0.108
286,YBR044C,chrII,324341,326059,160,52,41,1719,0.0930773705643,0.104,0.082
287,YBR045C,chrII,328173,330092,184,61,58,1920,0.0958333333333,0.122,0.116
288,YBR046C,chrII,330507,331511,97,58,54,1005,0.0965174129353,0.116,0.108
289,YBR047W,chrII,331833,332360,57,50,51,528,0.107954545455,0.1,0.102
290,YBR048W,chrII,332831,333812,97,53,50,982,0.0987780040733,0.106,0.1
291,YBR049C,chrII,334386,336818,242,50,42,2433,0.0994656802302,0.1,0.084
292,YBR050C,chrII,337183,338199,92,49,36,1017,0.0904621435595,0.098,0.072
293,YBR051W,chrII,337988,338338,29,52,36,351,0.0826210826211,0.104,0.072
294,YBR052C,chrII,338720,339352,47,40,49,633,0.0742496050553,0.08,0.098
295,YBR053C,chrII,339675,340751,104,46,53,1077,0.0965645311049,0.092,0.106
296,YBR054W,chrII,343101,344135,85,67,55,1035,0.0821256038647,0.134,0.11
297,YBR055C,chrII,344602,347301,274,54,48,2700,0.101481481481,0.108,0.096
298,YBR056W,chrII,347879,349384,162,57,54,1506,0.107569721116,0.114,0.108
299,YBR056W-A,chrII,351255,351455,14,47,56,201,0.0696517412935,0.094,0.112
300,YBR056C-B,chrII,351293,351451,10,43,55,159,0.062893081761,0.086,0.11
301,YBR057C,chrII,352193,353293,99,64,68,1101,0.0899182561308,0.128,0.136
302,YBR058C,chrII,353672,356017,222,64,45,2346,0.0946291560102,0.128,0.09
303,YBR058C-A,chrII,356324,356566,19,45,44,243,0.0781893004115,0.09,0.088
304,YBR059C,chrII,356861,360187,285,45,60,3327,0.0856627592426,0.09,0.12
305,YBR060C,chrII,360652,362514,165,56,53,1863,0.0885668276973,0.112,0.106
306,YBR061C,chrII,364787,365719,83,50,52,933,0.0889603429796,0.1,0.104
307,YBR062C,chrII,365976,366600,59,51,50,625,0.0944,0.102,0.1
308,YBR063C,chrII,366970,368184,139,53,50,1215,0.114403292181,0.106,0.1
309,YBR064W,chrII,367763,368191,51,58,52,429,0.118881118881,0.116,0.104
310,YBR065C,chrII,368584,369678,104,56,48,1095,0.0949771689498,0.112,0.096
311,YBR066C,chrII,370037,370699,60,48,44,663,0.0904977375566,0.096,0.088
312,YBR067C,chrII,372103,372735,39,60,44,633,0.0616113744076,0.12,0.088
313,YBR068C,chrII,373861,375690,159,45,39,1830,0.0868852459016,0.09,0.078
314,YBR069C,chrII,376574,378433,155,36,39,1860,0.0833333333333,0.072,0.078
315,YBR070C,chrII,379221,379934,65,45,47,714,0.0910364145658,0.09,0.094
316,YBR071W,chrII,380411,381046,51,47,37,636,0.0801886792453,0.094,0.074
317,YBR072W,chrII,382030,382674,52,48,49,645,0.0806201550388,0.096,0.098
318,YBR072C-A,chrII,382860,383021,18,50,37,162,0.111111111111,0.1,0.074
319,YBR073W,chrII,383112,385988,281,53,52,2877,0.0976711852624,0.106,0.104
320,YBR074W,chrII,386286,389216,272,44,66,2931,0.0928010917776,0.088,0.132
321,YBR076W,chrII,390227,391291,104,54,49,1065,0.0976525821596,0.108,0.098
322,YBR076C-A,chrII,391351,391617,25,51,49,267,0.0936329588015,0.102,0.098
323,YBR077C,chrII,391805,392293,48,47,33,489,0.0981595092025,0.094,0.066
324,YBR078W,chrII,393123,394742,139,45,65,1620,0.0858024691358,0.09,0.13
325,YBR079C,chrII,395383,398277,242,63,56,2895,0.0835924006908,0.126,0.112
